	anger	contempt	disgust	fear	happiness	neutral	sadness	surprise
cwp2003004516/PP	0.000445641752	0.000569904048	1.6051099e-05	2.922693e-06	7.748019e-06	0.969276369	0.029675642	5.71020928e-06
det1994017284/PP	0.00317687844	0.0032695313	0.00159685907	0.0009791295	0.04492261	0.921148	0.0167548619	0.00815215148
cwp2003003097/PP	0.0004421413	0.000360993261	5.50962322e-05	1.23149519e-07	3.77469678e-06	0.9889566	0.0101793995	1.90713433e-06
2014637358	0.000242706359	0.000783126568	6.09206e-06	1.7477447e-08	0.0013317595	0.997612655	1.96319452e-05	3.999388e-06
fsa2000002700/PP	8.493671e-07	0.0009003928	2.677414e-06	4.077644e-09	0.724129	0.2749501	1.51858649e-05	1.75718412e-06
91483097	0.001963562	3.783598e-05	2.74543345e-06	6.040876e-07	1.16716255e-05	0.9976881	0.000292073528	3.39505641e-06
2008676937	0.00036488258	0.0008566997	0.00012424904	6.806961e-05	0.0007064016	0.9925677	0.00272864243	0.00258330861
2008676936	0.00174844789	0.00125807768	6.944701e-05	0.0009881718	5.678423e-05	0.9819814	0.008948293	0.00494936667
2008676935	0.0002782221	1.47659175e-05	3.407103e-06	0.00112976611	2.274556e-06	0.9775107	0.0001899881	0.0208708681
2008676934	2.4582032e-05	0.000923391548	9.004739e-06	1.417188e-08	0.00343241938	0.9955184	8.939287e-05	2.83215377e-06
2008676933	0.000229564263	0.00135959743	5.41173176e-06	4.84785369e-06	0.002575436	0.9953942	0.000187644924	0.00024335034
2008676932	0.000157527786	0.0003153383	3.7845175e-06	5.97471126e-06	1.33912272e-05	0.998944163	0.000149911779	0.000409924571
2002713117	9.33363e-06	1.30871206e-06	3.89030129e-06	7.98031e-06	0.992760956	9.691922e-05	0.007054777	6.48289e-05
brh2003003931/PP	0.0153327417	0.0001322944	0.000204928539	0.000270070042	0.00558065157	0.9726307	0.002022875	0.00382576068
2005689420	0.00120840222	0.004617486	0.000195427448	1.59754563e-06	0.0137454113	0.977212369	0.00300015439	1.91223153e-05
2008676939	5.3142976e-05	0.000227105964	1.09502184e-06	1.46127159e-05	0.000203574527	0.99872756	0.000447617378	0.000325273315
2008676938	0.000155124028	0.000931618037	2.20412512e-05	3.77166434e-05	0.000877589569	0.994015038	0.000849123637	0.00311174663
det1994002932/PP	0.001813115	0.00410611276	0.000305033172	0.000135932278	0.00114247086	0.969180465	0.00256978488	0.0207470935
thc1995000068/PP	0.000248189084	0.000454429828	6.023852e-06	8.897528e-07	4.86701856e-06	0.9876443	0.011631202	1.01112664e-05
brh2003003926/PP	0.0100297611	0.00887606852	0.000182375879	0.000220554066	8.040261e-05	0.9709439	0.00282668322	0.006840225
cwp2003002700/PP	0.0738725439	0.003203743	0.0013374791	5.64947368e-05	1.76774847e-05	0.916599751	0.004446447	0.0004658643
brh2003001527/PP	0.002659382	0.003908379	0.000698735763	0.000397735217	0.0007474482	0.9696172	0.0190409515	0.00293017877
det1994002934/PP	0.00722583057	0.00447329041	4.52011445e-05	2.52352038e-06	2.7606186e-06	0.987137	0.00109482068	1.85333611e-05
brh2003004241/PP	3.512329e-05	0.00275924965	9.837703e-06	1.78897935e-07	0.0094597945	0.9874518	0.000267758063	1.62811866e-05
hec2009008353	0.000231631187	0.09938681	0.000257458683	5.875927e-07	0.4813709	0.417247444	0.00148603274	1.91495255e-05
95514132	1.9894353e-06	0.0004254454	1.73786177e-07	4.072024e-08	0.368388176	0.631154239	2.658907e-05	3.375505e-06
hec2009008355	0.000220644069	0.00218037819	1.76798021e-05	4.7170083e-08	0.009049094	0.988497555	1.29069713e-05	2.17192119e-05
cwp2003000341/PP	0.09870032	0.00291942549	0.006914792	0.101138212	0.000636036741	0.424589425	0.00940070953	0.355701059
brh2003001077/PP	0.0146574564	0.00119394914	0.00159796234	0.0112513667	0.00124153425	0.928193152	0.0119216228	0.0299429856
cwp2003002578/PP	0.0346048847	0.0006471631	0.00106886961	0.0003230911	6.925096e-05	0.9563562	0.00384097733	0.00308953971
2005685217	0.0030635735	0.133893162	0.00374784553	0.000272181846	0.09520033	0.7508015	0.009445014	0.00357640674
2005685210	0.009663131	2.28586923e-05	2.04731332e-05	9.434267e-06	2.61888181e-06	0.988980532	0.0012592423	4.17284027e-05
agc1996000418/PP	0.00153926993	0.00172761688	0.0003157014	4.13146045e-05	0.006120356	0.934233069	0.0559604019	6.225797e-05
brh2003004504/PP	0.0363962948	0.0020532466	0.0008559254	0.00136897329	3.39429862e-05	0.9301662	0.02744168	0.00168376951
cwp2003002702/PP	0.000299676845	1.75087152e-05	1.20595168e-05	6.476629e-05	2.51133933e-05	0.9984243	0.0008769922	0.000279564585
brh2003004806/PP	0.00142204214	0.00666609965	0.0005422631	4.751319e-05	0.04691679	0.9423408	0.00122476916	0.0008397245
cwp2003003370/PP	0.0003341881	1.01115484e-05	1.70073761e-07	1.36022163e-05	8.48060253e-08	0.998965442	0.000658683653	1.77319744e-05
91481789	0.03562831	0.046193298	0.004630601	9.194947e-05	0.00392012158	0.7285139	0.180880114	0.00014169178
91481781	0.0131503381	0.005403011	0.00777065847	0.00190031063	0.006621347	0.782518446	0.1811616	0.00147427793
thc1995007883/PP	0.000260984525	0.000457191054	4.552599e-05	0.000188018108	7.794523e-06	0.98068583	0.0148356464	0.0035189793
99615645	0.00575883966	0.00129253312	0.00186794624	0.0009356585	0.00298592634	0.9551703	0.0310535338	0.000935274933
brh2003002234/PP	0.0100030825	0.0005008811	0.000100343161	1.21701742e-05	0.0001925897	0.9876074	0.00128320849	0.00030030217
hec2009002057	0.001884862	0.007322447	2.18194327e-05	5.37764748e-08	0.0003606865	0.990148067	0.000260119	1.932065e-06
hec2009002055	0.0006168491	0.00511138467	0.00015329686	2.96590315e-07	0.0104359984	0.9832759	0.0003805607	2.56993753e-05
hec2009002051	0.00110013713	0.00693124626	0.000471068575	6.69536462e-07	0.03183916	0.9571654	0.00247116224	2.11507013e-05
2010650830	0.00399358664	0.004715622	0.000298259663	1.11798272e-05	1.96976271e-05	0.987384	0.0034933947	8.42412046e-05
2010650833	0.000392930844	4.76431051e-05	5.527453e-06	2.4441934e-07	9.604631e-07	0.9983344	0.0012155174	2.786262e-06
hec2009002058	0.008593613	0.00359350233	0.0004317962	0.000132675923	0.004348918	0.979998946	0.00174593	0.00115460355
cwp2003000441/PP	0.0417603068	0.006324043	0.00124560809	0.0001943728	0.0006088757	0.93977946	0.009033815	0.00105349463
brh2003002362/PP	0.00488624675	0.0006021508	0.000483815937	1.2388994e-05	0.00121146941	0.9903935	0.00213435	0.000276050938
det1994002907/PP	0.000171097068	0.0003013065	2.19589288e-06	1.3247254e-08	4.572099e-05	0.9994635	1.34530137e-05	2.72931152e-06
brh2003003920/PP	0.000115801784	0.000109748144	4.90458842e-06	1.72616232e-08	1.13129754e-05	0.9995276	0.000227734839	2.88998126e-06
2005686749	0.006709617	0.002124577	0.000136831935	0.000333957258	2.157209e-05	0.981724	0.00758778071	0.001361668
owi2001033670/PP	0.241635785	0.0254155975	0.0213035382	0.00013822451	0.00577318249	0.689638257	0.0155890789	0.00050634396
thc1995007885/PP	0.004267793	0.005201525	0.000320409454	1.547758e-06	0.00248818542	0.9873953	7.148837e-05	0.0002537908
91783060	0.00171503029	0.00267945137	0.0003817444	0.00495353574	0.156314567	0.8012145	0.0204926133	0.0122485366
brh2003004034/PP	0.001393717	0.00174533762	6.31124e-05	1.112006e-06	0.00022526276	0.988721	0.007829673	2.07899229e-05
2004664112	0.000308617775	0.004181881	0.000102777318	2.75899511e-05	0.00372340251	0.9879711	0.00343757332	0.000247002317
2004663721	0.00457421644	0.00471042469	2.53816961e-05	6.707756e-08	3.26696e-05	0.99053663	0.000109595981	1.10180272e-05
2011648312	0.00130012829	0.0208885279	0.000901745632	0.000106367021	0.03708183	0.828535855	0.110831387	0.000354159682
cwp2003002619/PP	0.00516501348	0.000353511336	6.3368484e-06	4.538573e-06	1.95685952e-05	0.994133651	0.00022900675	8.834505e-05
2004663726	0.0026731214	0.00243917014	0.0005313853	6.770086e-05	0.009813689	0.9806439	0.00338488654	0.0004461342
2004663727	0.239281729	0.00183918956	0.0007086732	1.34018173e-05	1.81359082e-05	0.755324364	0.0025713006	0.000243215516
2015647389	0.008311037	0.009552662	0.0056920643	0.0002572695	0.09909832	0.8527392	0.01942027	0.004929149
